nb_projet_siret,annee_creation,kw_renovation,kw_energetique,kw_batiment,kw_ecole,kw_eclairage,kw_incendie,kw_mobilite,kw_isolation,kw_chauffage,kw_photovolta,kw_recyclage,kw_benef_commune,kw_benef_ville,kw_benef_departement,kw_benef_region,kw_benef_metropole,kw_benef_communaute,kw_benef_syndicat,kw_benef_association,kw_benef_territoires,kw_benef_public,categorie_entreprise_ETI,categorie_entreprise_GE,categorie_entreprise_PME,economie_sociale_solidaire_unite_legale_N,economie_sociale_solidaire_unite_legale_Non_renseigne,economie_sociale_solidaire_unite_legale_O,demarche,nom_region,nom_departement,code_departement,forme_juridique_beneficiaire,code_commune,nom_commune,siret,activite_principale,code_postal,tranche_effectifs_unite_legale,annee_creation_bin,montant_engage_log
6,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,11.556163434330063,11.289721514798648,11.535128602598657,11.535128602598657,10.867898869298177,12.024721310415046,11.463189074641194,11.359316905561457,10.894518710219307,11.518735248532021,12.145701479004963,10.898415635135263,14.220976332738882
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,10.604141597915584,10.60945251035581,11.012554294749847,11.012554294749847,10.867898869298177,10.927746634442846,10.927746634442846,10.927746634442846,10.894518710219307,11.09508730993451,10.410010136077346,10.898415635135263,10.873129459907277
1,2006,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.556163434330063,10.51254121932266,10.362272579769193,10.362272579769193,10.628254886499958,10.739437446000748,10.739437446000748,10.739437446000748,10.894518710219307,10.687743468370202,11.273248658116424,11.208873210857517,9.425804915030032
1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.941259552842595,10.469612630640494,11.135001547086743,11.135001547086743,10.236398269268328,11.048947135212808,11.048947135212808,11.191358486179242,10.908504733415208,11.048947135212808,10.070993727253382,11.208873210857517,12.899222326086994
15,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.62757103997272,11.04404863079418,10.553707547090898,10.553707547090898,10.054441402351973,10.411190449621749,10.411190449621749,10.411190449621749,10.894518710219307,10.428412658455645,10.410010136077346,10.846105734621867,9.095176403566962
2,1983,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,11.556163434330063,12.203846975112604,11.8048597324702,11.8048597324702,10.867898869298177,11.127368960409154,11.127368960409154,11.113194515913118,10.894518710219307,11.127368960409154,12.182803577485947,10.898415635135263,11.248972939884327
1,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.941259552842595,11.069002998076362,11.20848693074786,11.20848693074786,10.628254886499958,10.830814793348926,10.830814793348926,11.01051244597625,10.894518710219307,10.763196085668184,11.041263967128458,10.846105734621867,11.509258750782605
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.62757103997272,11.04404863079418,11.045283369964402,11.045283369964402,10.867898869298177,10.56986512636173,10.56986512636173,10.56986512636173,10.894518710219307,10.60832875518691,10.410010136077346,10.898415635135263,8.122489965952104
1,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.69812101696013,10.51254121932266,10.467936210461053,10.467936210461053,10.612492372366853,10.643677106780006,10.643677106780006,10.643677106780006,10.894518710219307,10.643677106780006,10.410010136077346,10.846105734621867,8.689801056022553
2,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,11.556163434330063,10.975968081027128,11.111740926986032,11.111740926986032,11.275106400876476,11.109596863164088,11.109596863164088,11.031613907791906,10.894518710219307,11.109596863164088,11.499769794966772,10.846105734621867,13.548343277459871
1,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.62757103997272,10.469612630640494,8.997239440994074,8.997239440994074,10.867898869298177,10.671804699584905,10.671804699584905,10.671804699584905,10.894518710219307,10.556320366753418,11.041263967128458,10.846105734621867,8.90598676523643
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,10.01358307059093,11.289721514798648,10.906578167503259,10.906578167503259,10.628254886499958,10.947481982351016,10.947481982351016,10.947481982351016,10.894518710219307,10.947481982351016,11.273248658116424,10.846105734621867,11.024813260711133
2,1983,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,11.289721514798648,11.535128602598657,11.535128602598657,10.867898869298177,10.796678364302755,10.796678364302755,10.796678364302755,10.894518710219307,10.796678364302755,10.752045520711334,10.898415635135263,10.349166470257595
